Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
Misleading advertising ,"I visited KFC on South Street, Romford to try the Double Deal for £5.99, which KFC have been heavily advertising. Based on the advert, the fillet burgers looked large and great value the type of burger you need two hands to hold, with a thick, chunky chicken fillet clearly sticking out of the bun.

I placed a takeaway order and the service was fine, with no long wait, so I can’t fault the staff on that side.

However, the actual burgers I received were completely different from what is being advertised. The fillet burgers were extremely small, with a tiny piece of chicken that looked nothing like the one shown in the promotion. It honestly felt like I was given a mini version of what was advertised.

This was very disappointing and I feel the advertising is misleading, as the product shown does not match what customers are actually being served. I ordered this deal purely because of how it was promoted, and I left feeling let down.

I hope KFC address this, as it’s not acceptable to advertise one thing and deliver something totally different.",1,2026-01-20,Tharindu Thanthirigoda,south street romford try double deal heavily advertising based advert fillet burger looked large great value type burger two hand hold thick chunky fillet clearly sticking bun placed takeaway service fine long wait fault staff side however actual burger received completely different advertised fillet burger extremely small tiny piece looked nothing shown promotion honestly felt given mini version advertised disappointing feel advertising misleading product shown match customer served deal purely promoted left feeling let hope address acceptable advertise deliver totally different
Forgot my drink and the food was really…,Forgot my drink and the food was really cold,2,2026-01-30,Emily Cole,forgot drink food cold
Used to be my favorite spot for fried…,"Used to be my favorite spot for fried chicken, but now it's honestly horrible.... The quality has gone downhill, the food is disappointing, and it's nothing like it used to be. Definitely not coming back anytime some!",1,2026-01-30,Lorenzo,favorite spot honestly horrible quality gone downhill food disappointing nothing definitely coming anytime
"Please go back to making proper fries and everything, porr","Please go back to making proper fries. Used to order regular. Not any more. Get back to the basics, add specials, as and when. Comes to something when the barbacue bites and pop corn chicken. Is the best thing on your menu. Best fries, McDonald's, best burgers, Burger king. Best fast food menu. ... Cook it at home. Uk ceo etc, sitting on his arse,  watching the millions come in. Get a grip, on what your customers want. Date of experience, cant remember. You should be leading the market, with your products 😬",2,2026-01-18,Gary Embleton,please making proper fry regular basic add special come barbacue bite pop corn best menu best fry mcdonalds best burger burger king best fast food menu cook home uk ceo etc sitting arse watching million come grip customer date remember leading market product
Missing items from order ,"Visited KFC Bushbury Lane Oxley  WV10 9TW via drive through, ordered a 10piece boneless feast £24.99 got home to find one portion of chips and all the dips missing , how hard is it to get an order right , they were not busy 😔",3,2026-01-29,Martin Walton,bushbury lane oxley wv tw via drive piece boneless feast home find portion chip dip missing hard right busy
The chicken fillet burger was to crispy…,"The chicken fillet burger was to crispy chicken thin and chips were like cardboard .
Did not eat KFC for years it used to be so much better the price went up the quality went through the floor awful will never ever eat here again ... ever !!",1,2026-01-27,Truth about Mike,fillet burger crispy thin chip cardboard eat year price quality floor awful never ever eat ever
Shockingly Poor Customer Service and…,"Shockingly Poor Customer Service and Refusal to Honour Basic Consumer Rights

I’m genuinely disappointed with how KFC has handled my complaint. I paid £25 for an order that wasn’t provided to an acceptable standard. Instead of issuing a refund, KFC gave me a £15 voucher as a goodwill gesture. I made it clear from the very beginning that this voucher was not accepted as a resolution.

Despite repeatedly explaining this, KFC is now refusing to refund me and is claiming that because I used the voucher, the matter is “resolved.” A goodwill voucher does not override statutory rights, does not settle a complaint, and certainly does not replace the money I originally paid.

Every response I received ignored the key point: my rights remain in place regardless of whether a voucher was issued or used. The handling of this complaint has been dismissive, incorrect, and completely out of line with consumer protection law.

I have now passed all correspondence to Trading Standards, and if necessary, I will be taking this to Small Claims Court. It’s not about the £25 — it’s about a company refusing to acknowledge basic consumer rights and trying to close a complaint on flawed reasoning.

Very poor experience, and I won’t be returning until KFC takes customer rights seriously.

Halifax Hailey Hill 
",1,2026-01-27,Cain Waterhouse,shockingly poor customer service refusal honour basic consumer right genuinely disappointed handled complaint paid wasnt provided acceptable standard instead issuing refund gave voucher goodwill gesture made clear beginning voucher accepted resolution despite repeatedly explaining refusing refund claiming voucher matter resolved goodwill voucher override statutory right settle complaint certainly replace money originally paid response received ignored key point right remain regardless whether voucher issued handling complaint dismissive incorrect completely line consumer protection law passed correspondence trading standard necessary taking small claim court company refusing acknowledge basic consumer right trying close complaint flawed reasoning poor wont returning take customer right seriously halifax hailey hill
Went to one of the KFC's on Friday,"Went to one of the KFC's on Friday, ordered a meal box and was waiting for an hour. Absolutely unacceptable. Managers are to blame for it, they know when the demand is highest. Will choose alternative next time. ",1,2026-01-23,Sergei,kfcs friday meal box waiting hour absolutely unacceptable manager blame demand highest choose alternative next
KFC HUNTINGDON ,"Go to KFC HUNTINGDON iif you want an extra £60 to £100 added to you bill because you have stayed in the car park for more than 1 hour. 

How they expect you as a disabled person to park, walk with mobility issues into the restaurant, order your meal on a terminal that is slow and not easy to use for an older disabled person, wait 12 minutes for the food to be brought out then stuff down a bucket of chicken and a large drink use the toilet and hobble back to your car in one hour and not a second over is absolutely disgraceful. 

SHAME ON YOU KFC",1,2025-12-14,Kaz,huntingdon iif extra added bill stayed car park hour expect disabled person park walk mobility issue restaurant meal terminal slow easy older disabled person wait minute food brought stuff bucket large drink toilet hobble car hour second absolutely disgraceful shame
Clean and Tidy (Eastbourne),I went into the KFC in Eastbourne (Lottbridge Drove) on the 24th January and the thing which struck me immediately was how clean and tidy it was - unfortunately that is not always the case with fast-food restaurants where sometimes tidiness and cleanliness seems to take a back seat.  I have never seen such a clean KFC and was really impressed how hard the cleaning staff seemed to be working.,5,2026-01-24,Simon Bacchus,eastbourne lottbridge drove th january struck immediately clean tidy unfortunately case fastfood restaurant sometimes tidiness cleanliness seems take seat never seen clean impressed hard cleaning staff seemed working
Horrendous ,"Useless staff, waiting over 10 minutes to be served in the drive through, several items missed from order ",2,2026-01-25,Elizabeth Timmins,useless staff waiting minute served drive several item missed
Bloody awful,"Bloody awful. Order not complete and short of corn and fries after spend £40 
Haven’t been to a KFC for this reason in along time and they didn’t disappoint. Never again !!!!
KFC Shrewsbury (Battlefield) ",1,2026-01-24,Andrew Stickland,bloody awful complete short corn fry spend havent reason along disappoint never shrewsbury battlefield
Missing fries,"Ordered online to collect from Goodrige Avenue drive thru. Collection went smoothly but, I ordered 2 meals and only got one lot of fries.",4,2026-01-24,Tony Bentley,online collect goodrige avenue drive thru collection smoothly meal lot fry
Food ok but we done the drive through…,"Food ok but we done the drive through and hengrove Bristol and from taking our order to getting it 30 mins wait and there were only 6 cars infront of us.
Chips tastes nothing like chips due to all the spices they add to them.
Chicken was ok at best and not worth the wait.
This was not a buisy time either",1,2026-01-23,Mr. martin davis,food done drive hengrove bristol taking getting min wait car infront u chip taste nothing chip due spice add best worth wait buisy either
very clean best food and best service,very clean best food and best service ,5,2026-01-23,Amelia Honnor,clean best food best service
Staff rude ,"Staff rude 
Food cold and hard even though we ate in.
Gravy like water and grease 
Chips scrag end
1 staff member spaying near our food.
When asked if she could not spray near our food was tutted at not good at all. This was at the york road doncaster store.",1,2026-01-20,Suzanne Byrne,staff rude food cold hard though ate gravy water grease chip scrag end staff member spaying near food asked could spray near food tutted york road doncaster
 hot honey chicken burger ,I paid £10 for the hot honey chicken burger meal and the only good thing I got out of it was the fries and drink . I had a severe stomach ache after. The burger tasted like fairy liquid or bleach it was so unbearable to eat and a waste money I do not recommend . I would like something sorted via customer service for example a refund or a replacement meal (not sure if I would even like a replacement I feel put off),1,2026-01-20,Zahra Hussain,paid hot honey burger meal fry drink severe stomach ache burger tasted fairy liquid bleach unbearable eat waste money recommend sorted via customer service example refund replacement meal sure replacement feel put
Missing items almost always,Missing items almost always. Contacting KFC for resolution is like pulling teeth; they promise a resolution but don’t do what they say. At this point they are simple stealing money from customers. ,1,2026-01-19,HappyLife,missing item almost contacting resolution pulling teeth promise resolution point simple stealing money customer
What has gone wrong with this iconic…,"What has gone wrong with this iconic brand, I asked for a zinger burger box meal, the burger was just chicken… no lettuce and no sauce.. I returned the burger and a refund was taken, the excuse I received was that they didn’t have any lettuce and they didn’t have any sauce, that’s not a zinger burger then, although the nice lady said it was …. Absolutely appalling.. £9.99 for a load of crap … am I wasting my time in writing this article… will anyone take any notice.. I fear not … never, ever again ",1,2026-01-19,Jim Parry,gone wrong iconic brand asked zinger burger box meal burger lettuce sauce returned burger refund taken excuse received lettuce sauce zinger burger although lady absolutely appalling load crap wasting writing article anyone take notice fear never ever
The chicken rat ,"

I took one bite of my chicken and felt something rubbery snap between my teeth, and when I pulled it out, I realized in horror it was part of a dead rat cooked into the meal. The smell hit me next, a sour, burnt stench that made my stomach churn as I stared at the tray in disbelief. Employees acted confused while I gagged, shaking and wondering how something so vile could end up served to anyone. I will never forget that moment or eat there again.",1,2026-01-16,Agnes,took bite felt rubbery snap teeth pulled realized horror part dead rat cooked meal smell hit next sour burnt stench made stomach churn stared tray disbelief employee acted confused gagged shaking wondering vile could end served anyone never forget moment eat
KFC in Bromsgrove ,"I went to KFC in Bromsgrove Friday 16/01/2026 and ordered a large 3 piece colonels meal to eat in. When I sat down and opened my food I thought I had been given a meal from 1 of your competitors as the chicken pieces were the size of chicken nuggets. I couldn't be bothered to complain to the staff.
Then Friday night I spent most of the night on the toilet with an upset stomach.
Not a great experience at all and it's going to be a longtime (if ever) before I go back to a KFC I'm afraid",1,2026-01-16,"Me, myself and I",bromsgrove friday large piece colonel meal eat sat opened food thought given meal competitor piece size nugget couldnt bothered complain staff friday night spent night toilet upset stomach great longtime ever afraid
KFC bedhampton,"KFC bedhampton, fantastic service, helped with my enquiry and they showed efficient customer service. Food is always lovely and hot! Served by Daniella ",4,2026-01-16,Caity,bedhampton fantastic service helped enquiry showed efficient customer service food lovely hot served daniella
SCATTY SCRAN!,I am absolutely DISGUSTED on the food I've received from kfc  . I have found smeg and pubes in my burger in the sauce and also in the chicken i think its safe to say I'm not coming to come again and i hope no-one else receives food like this either. stay far away from this place everyone,1,2025-12-31,Leon Dutton,absolutely disgusted food received found smeg pubes burger sauce safe coming come hope noone else receives food either stay far away everyone
scatty scran ,i went in on new year and found it was closed i decided to go in anyway and make my own chicken it was undercooked and horrible found rats and smeg all over the kitchen i also found workers in the back doing the devils tango safe to say i will never come here again ,1,2025-12-31,Aaron Cleary,found closed decided anyway undercooked horrible found rat smeg kitchen found worker devil tango safe never come
I ordered and wait for a manager with…,I ordered and wait for a manager with very bad attitude and no communication or costumer service to tell me is not a problem to wait 15 min in a fast food because they don't have chicken coking  ,1,2026-01-15,Vasile Sandu,wait manager attitude communication costumer service tell problem wait min fast food coking
Oh my goodness the taste was amazing,Oh my goodness the taste was amazing. Then 15 minutes later the 4 of us are sick. 🤒 we will never be back. Shame on you KFC Great Western Retail Park Drumchapel. ,1,2026-01-15,Mr Andrew Neeson,oh goodness taste amazing minute later u sick never shame great western retail park drumchapel
Uses halal meat!!,Uses halal meat!!! Disgusting torture for animals… 🤬,1,2026-01-14,Stephen Peacock,us halal meat disgusting torture animal
Meal was luke warm and not correct for…,"Meal was luke warm and not correct for the cult saving menu. Certainly no service with a smile, coke cup was literally thrown beside the order bag. And the floor is so slippery it was dangerous especially for someone disabled and using a walking stick like myself. Won't be back as I value my bones. ",1,2026-01-14,Ms K Thomson,meal luke warm correct cult saving menu certainly service smile coke cup literally thrown beside bag floor slippery dangerous especially someone disabled using walking stick wont value bone
5 Stars for KFC Team Wellington ,Visited KFC Wellington this evening.  Had amazing service from Emily & Team.  Food was fresh and service was prompt and faultless.  Definitely the best branch of KFC I’ve visited.  Tables were clear & clean too which is always a bonus and something I’ve never experienced in the city branches.  Will definitely visit again soon.  Thanks KFC Wellington.,5,2026-01-13,Helen Legg,wellington evening amazing service emily team food fresh service prompt faultless definitely best table clear clean bonus never experienced city branch definitely soon thanks wellington
Kfc purley is absolutely amazing,Kfc purley is absolutely amazing. Food is hot and flavorful. Don't usually have to wait long. Excellent!!,5,2026-01-13,Anaya,purley absolutely amazing food hot flavorful usually wait long excellent
the food,"the food, the staffs, amazing oh my gosh I love being, so nice, recommend 100%",5,2026-01-13,Parsu Poudel,food staff amazing oh gosh love recommend
KFC Absolutely awful,"Absolutely awful. Every visit to the KFC at Bedford Interchange Park is a disappointment, and this was the final straw.

The chicken is shockingly bad — bland, greasy, overcooked to the point of being dry, and completely devoid of flavour. Whatever “Southern Fried” is supposed to mean clearly no longer applies here. It tastes like cheap, mass-produced food that’s been sitting around far too long.

The fries are equally dreadful: limp, oily, and tasteless. Not hot, not crisp, just unpleasant.

What has happened to KFC? This used to be a reliable fast-food chain with flavour and quality. Now it feels like they’ve given up entirely. I genuinely don’t understand how this branch is allowed to trade at this standard.

Will never eat here again. Total waste of money.",1,2026-01-12,Phil Armstrong,absolutely awful bedford interchange park disappointment final straw shockingly bland greasy overcooked point dry completely devoid flavour whatever southern supposed mean clearly longer applies taste cheap massproduced food sitting around far long fry equally dreadful limp oily tasteless hot crisp unpleasant happened reliable fastfood chain flavour quality feel theyve given entirely genuinely understand allowed trade standard never eat total waste money
KFC PENN WOLVERHAMPTON,"KFC PENN WOLVERHAMPTON, ORDERED A FAMILY FEAST AT 05 20, GOT HOME IT WAS HORRID? OVER COOKED CHICKEN? IT WAS DRY AND NASTY, FRIES WERE COLD? GRAVY WAS LIKE IT WAS MADE DAYS AGO? ALSO WAS CHARGED £19.99 IT IS £17.99 EVERY WERE ELSE? THIS IS A TERRIBLE SERVICE FROM KFC!!!",1,2026-01-12,Steve Attwell,penn wolverhampton family feast home horrid cooked dry nasty fry cold gravy made day charged else terrible service
