Review Title,Review Text,Star Rating,Date,Author,Tokenised_Review
Gross,"Disgusting. Waited 20 minutes to be told the vegan burger wasn’t in stock, fine. I had no problem with this but the frickles I ordered were horrible, cold and wet. The coating slid off them and it all went in the bin. I complained and was offered a £5 voucher even tho I told them I had no intention of returning ",1,2026-03-23,Charlotte Wayland,disgusting waited minute told vegan burger wasnt stock fine problem frickles horrible cold wet coating slid bin complained offered voucher tho told intention returning
We are again 3 years later after…,"Here we are again 3 years later after another horrible meal, I ordered the pickle burger, the loaded pickle fries, the presentation was awful, didnt look edible at at all, its not even gherkins its courgette crispy. Very disappointing for a meal for the price of it, iced latte tho is nice, abit small could be bigger and less ice. ",1,2026-03-23,Customer,year later another horrible meal pickle burger loaded pickle fry presentation awful look edible gherkin courgette crispy disappointing meal price iced latte tho abit small could bigger less ice
Corley services South,"Corley services South. 6 piece bucket. 3 tiny pieces. They refused to replace them because I had taken them to the table then the manager said it was because it is 2 legs , 2 wings, 2 breasts. Awful service and poor attitude ",1,2026-03-23,Keith Bosworth,corley service south piece bucket tiny piece refused replace taken table manager leg wing breast awful service poor attitude
KFC and Uber make it impossible to complain,"I ordered a mighty bucket meal for one to be delivered.
I currently have vertigo so am unable to drive.
My first attempt to pay by card did not allow me to return to the KFC form to confirm so I tried again.
When the delivery came there were 2 bucket meals .
Total cost of £19.96 x2. That includes 2 delivery charges to the same address at the same time. I told the Uber delivery agent I had ordered only one. I didnt want 2. He helped me download app to check order. He said he couldnt take it away because i had 2 PINs . He left.
I ate one meal.
There was no way to find a number to ring the East Prescot Road branch in Liverpool to resolve the matter. The app advised contacting an  Uber number on the order.
I rang this. I spoke to somebody in a far eastern country. They said they could not provide a refund and advised I contact KFC.
The only way left was by a chat app.
I have left my complaint but will anybody get back to me?
Ill have to throw this food away now which is a terrible shame.
I cannot afford to but 2 meals like this.
The mistake was not mine. I followed instructions but the system duplicated my order.
Nobody was available to resolve my issue.
That is the very last time I use KFC.


",1,2026-03-22,Gary Gornell,mighty bucket meal delivered currently vertigo unable drive first attempt pay card allow return form confirm tried delivery came bucket meal total cost includes delivery charge address told uber delivery agent helped download app check couldnt take away pin left ate meal find number ring east prescot road liverpool resolve matter app advised contacting uber number rang spoke somebody far eastern country could provide refund advised contact left chat app left complaint anybody ill throw food away terrible shame cannot afford meal mistake mine followed instruction system duplicated nobody available resolve issue
Decent ,Nice but too pricey ,4,2026-03-12,Adam,pricey
Very good fast service,Very good fast service ,5,2026-03-22,Theo Patterson,fast service
Really good food would recommend!!!Kind…,Really good food would recommend!!!Kind servers ,5,2026-03-22,Archie Hughes,food recommendkind server
Wouldn't even give it to the rats,Wouldn't even give it to the rats ,1,2026-03-20,kevin peachey,wouldnt give rat
It was ok until my friend got executed for sucking me off,I worked as a cleaner at this nit so fine establushemente and my penar got sstuck in the garbage disposal and all they gav mi whas a shickin strip. Yep. Only one ,3,2026-03-21,Ben,worked cleaner nit fine establushemente penar sstuck garbage disposal gav mi whas shickin strip yep
Not coming again grrrrr,"Sadly, I didn't enjoy your food today. I ordered your chicken strips but ,when I got the food, the chicken started to dance in the box with my zinger burger. It bit my penis and I screamed. I descended to the heavens while peeing on my fries. 5 STARS WOULD COME AGAIN!!!",5,2026-01-02,Toby Wood,sadly enjoy food strip food started dance box zinger burger bit penis screamed descended heaven peeing fry star come
